,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,2019-09-26,1522.96923828125,1540.2132568359375,1499.9000244140625,1516.5106201171875,5337186,0.0,0.0
1,2019-09-27,1515.4373779296875,1547.3612060546875,1502.2890625,1528.739990234375,2583554,0.0,0.0
2,2019-09-28,1525.9263916015625,1553.47509765625,1508.8140869140625,1525.7178955078125,2243053,0.0,0.0
3,2019-09-29,1526.947998046875,1551.40234375,1511.6739501953125,1528.8665771484375,1602218,0.0,0.0
4,2019-09-30,1528.8665771484375,1538.6168212890625,1497.364990234375,1513.8780517578125,3023598,0.0,0.0
5,2019-10-01,1509.4625244140625,1549.0062255859375,1489.855224609375,1499.5137939453125,1876107,0.0,0.0
6,2019-10-02,1499.5137939453125,1514.400634765625,1454.5211181640625,1466.4097900390625,892474,0.0,0.0
7,2019-10-03,1466.4097900390625,1505.337646484375,1457.0501708984375,1496.9918212890625,1536692,0.0,0.0
8,2019-10-04,1499.05810546875,1547.390869140625,1496.2763671875,1510.148193359375,1566060,0.0,0.0
9,2019-10-05,1510.148193359375,1540.305908203125,1489.517822265625,1497.5797119140625,1321624,0.0,0.0
10,2019-10-06,1496.8046875,1559.0634765625,1495.784912109375,1535.4833984375,3331031,0.0,0.0
11,2019-10-07,1533.92919921875,1546.6221923828125,1512.7908935546875,1532.6455078125,4016854,0.0,0.0
12,2019-10-08,1532.89208984375,1543.747802734375,1511.4072265625,1530.3182373046875,2249215,0.0,0.0
13,2019-10-09,1529.90966796875,1546.8935546875,1500.340087890625,1520.4644775390625,5673851,0.0,0.0
14,2019-10-10,1516.781005859375,1543.20947265625,1507.6661376953125,1534.4639892578125,3340582,0.0,0.0
15,2019-10-11,1536.0894775390625,1556.0321044921875,1510.6207275390625,1538.6441650390625,4870887,0.0,0.0
16,2019-10-12,1539.27099609375,1556.969482421875,1509.6527099609375,1518.955810546875,1189723,0.0,0.0
17,2019-10-13,1518.526123046875,1542.7099609375,1509.4923095703125,1530.8951416015625,1973779,0.0,0.0
18,2019-10-14,1530.8951416015625,1544.6737060546875,1515.289306640625,1538.9613037109375,1861798,0.0,0.0
19,2019-10-15,1537.5933837890625,1549.1739501953125,1511.889892578125,1532.95361328125,2834839,0.0,0.0
20,2019-10-16,1532.95361328125,1548.059814453125,1513.5914306640625,1525.372802734375,2519667,0.0,0.0
21,2019-10-17,1525.6385498046875,1546.031005859375,1511.017578125,1513.2073974609375,2321023,0.0,0.0
22,2019-10-18,1514.2860107421875,1553.9793701171875,1509.3433837890625,1521.9437255859375,5283331,0.0,0.0
23,2019-10-19,1519.928466796875,1546.947265625,1512.54638671875,1526.0347900390625,4389881,0.0,0.0
24,2019-10-20,1525.501953125,1544.898193359375,1511.156005859375,1531.0445556640625,6825304,0.0,0.0
25,2019-10-21,1531.5469970703125,1540.4984130859375,1511.7076416015625,1528.12646484375,5138334,0.0,0.0
26,2019-10-22,1527.420166015625,1536.1781005859375,1509.7080078125,1513.975341796875,1849206,0.0,0.0
27,2019-10-23,1513.371337890625,1545.3668212890625,1474.06396484375,1498.958984375,16076364,0.0,0.0
28,2019-10-24,1497.7569580078125,1525.0145263671875,1475.79833984375,1484.32080078125,4312836,0.0,0.0
29,2019-10-25,1484.32080078125,1539.35888671875,1482.612548828125,1520.5,1208814,0.0,0.0
30,2019-10-26,1521.533935546875,1544.947998046875,1387.9765625,1509.3011474609375,681,0.0,0.0
31,2019-10-27,1509.3011474609375,1527.877685546875,1473.5731201171875,1514.4765625,125079,0.0,0.0
32,2019-10-28,1514.77099609375,1526.177490234375,1481.8626708984375,1512.3568115234375,557111,0.0,0.0
33,2019-10-29,1512.3568115234375,1555.70751953125,1479.837158203125,1541.06689453125,1100512,0.0,0.0
34,2019-10-30,1543.760009765625,1550.5721435546875,1475.8504638671875,1501.7607421875,868220,0.0,0.0
35,2019-10-31,1500.3970947265625,1522.14306640625,1474.5853271484375,1493.3623046875,879891,0.0,0.0
36,2019-11-01,1494.4869384765625,1529.780517578125,1481.5860595703125,1522.9644775390625,4702498,0.0,0.0
37,2019-11-02,1522.541015625,1528.0999755859375,1470.7041015625,1519.135009765625,2400671,0.0,0.0
38,2019-11-03,1518.6068115234375,1526.9503173828125,1478.5836181640625,1487.9876708984375,3321575,0.0,0.0
39,2019-11-04,1488.4112548828125,1525.8624267578125,1467.505615234375,1482.6068115234375,9202816,0.0,0.0
40,2019-11-05,1482.6068115234375,1521.79931640625,1464.3363037109375,1481.16357421875,9320207,0.0,0.0
41,2019-11-06,1483.8851318359375,1526.0728759765625,1472.947265625,1510.1864013671875,6486061,0.0,0.0
42,2019-11-07,1510.4468994140625,1524.89208984375,1465.8880615234375,1486.2421875,6458455,0.0,0.0
43,2019-11-08,1487.366455078125,1518.647216796875,1450.9544677734375,1453.8272705078125,13753675,0.0,0.0
44,2019-11-09,1453.296142578125,1461.3338623046875,1449.635986328125,1451.631591796875,1836,0.0,0.0
45,2019-11-10,1451.31640625,1462.3380126953125,1451.1043701171875,1457.079833984375,0,0.0,0.0
46,2019-11-11,1457.079833984375,1467.9827880859375,1453.686767578125,1458.7940673828125,219713,0.0,0.0
47,2019-11-12,1460.1668701171875,1491.474853515625,1449.9417724609375,1456.843017578125,8154743,0.0,0.0
48,2019-11-13,1458.2364501953125,1492.0035400390625,1453.8734130859375,1484.54638671875,6032423,0.0,0.0
49,2019-11-14,1486.7554931640625,1504.6016845703125,1459.95458984375,1485.2369384765625,7618046,0.0,0.0
50,2019-11-15,1485.2369384765625,1560.143310546875,1465.36962890625,1556.331787109375,16082148,0.0,0.0
51,2019-11-16,1556.525146484375,1572.7469482421875,1523.0692138671875,1559.512939453125,4987903,0.0,0.0
52,2019-11-17,1559.512939453125,1567.51318359375,1426.81103515625,1428.54296875,7965893,0.0,0.0
53,2019-11-18,1427.3685302734375,1556.3682861328125,1410.7115478515625,1523.8961181640625,13706464,0.0,0.0
54,2019-11-19,1522.6650390625,1547.2470703125,1470.9017333984375,1497.2760009765625,10346176,0.0,0.0
55,2019-11-20,1497.2760009765625,1545.5096435546875,1452.466064453125,1458.6798095703125,9802913,0.0,0.0
56,2019-11-21,1459.6988525390625,1491.7950439453125,1437.753173828125,1462.4930419921875,3056038,0.0,0.0
57,2019-11-22,1461.573974609375,1496.5618896484375,1443.0194091796875,1469.2987060546875,3867939,0.0,0.0
58,2019-11-23,1470.6614990234375,1568.225830078125,1466.4417724609375,1525.0821533203125,1008322,0.0,0.0
59,2019-11-24,1525.00634765625,1558.24755859375,1437.734619140625,1474.6900634765625,1381488,0.0,0.0
60,2019-11-25,1472.901611328125,1530.470703125,1454.407470703125,1476.105712890625,1727182,0.0,0.0
61,2019-11-26,1475.50244140625,1548.7470703125,1454.6290283203125,1536.0662841796875,647815,0.0,0.0
62,2019-11-27,1476.926513671875,1559.1104736328125,1440.4674072265625,1470.0777587890625,739060,0.0,0.0
63,2019-11-28,1513.5103759765625,1603.8985595703125,1427.49560546875,1469.455078125,311771,0.0,0.0
